timestamp,ACC_0,GYRO_0,LIGHT,MAG_0,PRESS,ACC_1,GYRO_1,MAG_1,ACC_2,GYRO_2,MAG_2,label
4979287446735.667,-3.405379396790813,3.2030532627639947,22322.849228481835,12.722315008538684,1022.9970211699904,0.1345985065695856,1.127772232316541,0.7652939747199222,10.20111537921822,-0.1753605751511926,-33.755991090446365,7.0
4979320137621.083,-4.59402887424451,3.1681256772884545,21884.78195299724,13.952740225920534,1024.0813320465572,1.6290950768327566,0.7383925028721855,-2.896218322179166,10.191242265707375,-0.4988672153681026,-32.555186790147204,7.0
4979352752600.25,-3.88217923391092,2.5687971262218388,21536.925216575477,14.811560340666524,1025.1204259343017,2.204606039468804,0.2839873446499738,-5.912464890556268,9.91302789543011,-0.5721473186862515,-31.817669442076777,7.0
4979386793972.846,-2.5199215536447257,1.687339408540338,21308.358654194857,14.81398482170976,1025.983058350184,2.364215130706369,0.2251272111231988,-8.483905795135243,9.400031926156611,-0.4653534230543576,-30.61476778299255,7.0
4979420380819.0,-1.9782452572014928,0.4918050300196211,21260.666059154908,15.160504976367166,1026.571733648388,3.03566596996225,0.1190951377228093,-9.281971432692252,8.962228357976763,-0.1829255153645748,-29.61420817571989,7.0
4979453285194.0,-2.0908475491985867,0.1655673448859927,21463.502297225223,15.11232002083156,1027.250226622302,2.794928186530401,0.029447405475551,-9.525200097101411,9.403570450184825,-0.0743020990353999,-29.41406613112447,7.0
4979486125360.667,-2.3073704034269644,-0.024570399781705,21849.12223524289,15.325699762087991,1027.8774740147433,3.0847851852192885,-0.1692808893749738,-9.637973574286006,9.367489851591932,0.0392057302274652,-29.094252590545683,7.0
4979517366944.0,-2.150523027830691,-0.2813810113586328,22309.6889850988,14.456972947945268,1028.4291725418825,2.704126814449195,-0.302389758848336,-9.388660899826036,9.133568107115623,0.1118160963679537,-29.352273545454548,7.0
4979550083290.154,-1.9177297096876127,-0.3503138107162282,22799.49593504769,13.675942500856069,1028.9537993605766,2.649643429191573,-0.3246518097920147,-9.090011457466687,9.092776979847978,0.2065188869607849,-30.24974541105769,7.0
4979585353626.692,-1.7995131155723112,-0.2872101485468735,23239.82472048526,13.53770620178028,1029.5522447401506,2.4748212302430077,-0.2751987301978352,-8.875917609310214,9.494302289708685,0.3262497636793324,-30.78862989347006,7.0
